,BIN Number,Inspector ID,R.Section of Law,R.I_CODE,R.New I_CODE
188,4617796,2879,6,2,17
189,2050004,3077,6,2,17
190,3044716,2987,6,2,17
191,3330366,3044,6,2,17
192,3398476,3044,6,2,17
193,3388747,3044,6,2,17
194,4033709,2783,6,2,17
197,4004985,2978,6,2,12
198,4614981,3050,6,2,12
199,3425969,2879,6,2,12
200,3421818,3133,6,2,12
201,3421818,2801,6,2,12
202,3070772,2796,6,2,12
203,3036843,2783,6,2,12
204,1045185,3047,6,2,12
205,1030943,3047,6,2,12
206,3031866,2783,6,2,14
207,4005438,2420,6,2,14
208,4623007,2879,6,2,14
209,2008173,2783,6,2,14
210,3425733,2941,6,2,14
211,3425733,2941,6,2,14
212,4006903,2995,6,2,14
213,4006903,3117,6,2,14
214,3117889,2456,6,2,14
215,3057331,3086,6,2,14
216,3057331,3129,6,2,14
217,3062490,2456,6,2,14
218,3062490,2796,6,2,14
219,1090447,2868,6,2,14
220,3426313,2783,6,2,14
221,4174775,2783,6,2,14
222,3036844,2783,6,2,14
223,4163109,2783,6,2,14
224,1014554,2796,6,2,14
225,3119764,3084,6,2,14
226,3421818,2941,6,2,14
227,4200225,2783,6,2,14
228,3338780,2783,6,2,14
229,3413924,2780,6,2,14
234,3049747,2989,6,2,20
235,3049751,2989,6,2,20
236,3054204,2829,11,3,2
237,1015400,3141,11,3,2
238,3425883,3048,11,3,2
239,4005063,3050,11,3,2
240,1038647,2868,11,3,2
241,3425870,3053,11,3,2
242,4005637,2796,11,3,2
243,2084006,3085,11,3,2
244,1000815,3085,11,3,2
245,4614734,2829,11,3,2
246,3425955,3077,11,3,2
247,3179480,2982,11,3,2
248,3330330,3077,11,3,2
249,1090814,3044,11,3,2
250,3185913,2829,11,3,2
251,1090547,3050,11,3,2
252,2055332,2796,11,3,2
253,4017170,3085,11,3,2
254,3039163,3047,11,3,2
255,4020281,3044,11,3,2
256,3118850,3085,11,3,2
257,3063705,3086,11,3,2
258,3063705,3086,11,3,2
259,1053938,3141,11,3,2
260,4594905,2978,11,3,2
261,3063705,3058,11,3,2
262,3330494,3117,11,3,2
263,3337390,3117,11,3,2
264,4438804,3050,11,3,2
265,3830946,2884,11,3,2
266,3063705,2796,11,3,2
267,3063705,2796,11,3,2
268,3063431,2881,11,3,2
269,4022510,3059,11,3,2
270,3219270,2829,11,3,2
271,1080621,2796,11,3,2
272,1014260,2879,11,3,2
273,3048421,2865,11,3,2
274,1002611,2829,11,3,2
275,3140922,2829,11,3,2
276,3117945,2879,11,3,2
277,3423939,3050,11,3,2
278,4596913,3048,11,3,2
279,3154977,2865,11,3,2
280,3126565,3141,11,3,2
281,1005639,3050,11,3,2
282,1063629,2987,11,3,2
283,4004968,3064,11,3,2
284,1043972,3048,11,3,2
285,3055533,3051,11,3,2
286,1033683,3044,11,3,2
287,1041054,3048,11,3,2
288,1007581,3047,11,3,2
289,2830634,2868,11,3,2
290,2830635,2868,11,3,2
291,3061607,3048,11,3,2
292,1090683,3158,14,4,3
293,4040396,3116,14,4,3
294,3137492,2884,14,4,3
295,3137493,2884,14,4,3
296,2128725,2796,14,4,3
297,4618382,2884,14,4,3
298,2001327,2865,14,4,3
299,3065902,2801,14,4,3
300,3423486,2841,14,4,3
301,3426582,2865,14,4,3
302,3426583,2865,14,4,3
303,3424570,3129,8,5,4
304,3424571,3129,8,5,4
305,2129282,3064,8,5,4
306,1056647,3080,12,6,5
307,1081314,3086,12,6,5
308,1006572,2982,12,6,5
309,4607819,2801,12,6,5
310,1030845,2881,12,6,5
311,4539518,3044,12,6,5
312,1060187,3117,12,6,5
313,1014424,3039,12,6,5
314,1090832,2884,12,6,5
315,1017077,2987,12,6,5
316,3055940,3039,12,6,5
317,1056647,2868,12,6,5
318,1001648,3086,12,6,5
319,4206854,3133,12,6,5
320,3391008,2995,12,6,5
321,1039997,3116,12,6,5
322,1017084,3039,12,6,5
323,1017084,3075,12,6,5
324,4613474,3044,12,6,5
325,3391008,2995,12,6,5
327,1020599,3048,12,6,20
328,3337390,3084,12,6,5
329,1014449,2987,12,6,5
330,1809790,2987,12,6,5
331,2010644,3050,12,6,5
332,2010644,3050,12,6,5
333,2090447,2865,12,6,5
334,1046686,3077,12,6,5
335,3426636,3086,12,6,5
336,4608415,2976,12,6,5
337,3324946,2841,12,6,5
338,1090274,3084,12,6,5
339,1083247,2982,12,6,5
340,3426636,3047,12,6,5
341,3426365,2732,12,6,5
342,3426365,3133,12,6,5
343,2128886,2783,12,6,5
344,1081179,3086,12,6,5
345,4623027,2980,12,6,5
346,1005484,2985,12,6,5
347,1062675,3047,12,6,5
348,1087770,3048,12,6,5
349,1090447,2987,12,6,5
350,3426365,3133,12,6,5
351,2016732,3080,12,6,5
352,3425513,3055,12,6,5
353,3426365,3055,12,6,5
354,2016732,3141,12,6,5
355,1090742,2801,12,6,5
356,4607340,3117,12,6,5
357,4618575,3070,12,6,5
358,3030974,3084,12,6,5
359,1083340,3141,12,6,5
360,3328935,3053,12,6,5
361,3424570,3129,12,6,5
362,1015171,3050,12,6,5
363,1042125,3085,12,6,5
364,3118533,3053,12,6,5
365,1027119,2651,12,6,5
366,1087948,2783,12,6,5
367,4216211,3044,12,6,5
368,1027119,3085,12,6,5
369,4000561,2987,12,6,5
370,1004593,2982,12,6,5
371,3418325,3085,12,6,5
372,4618935,3117,12,6,5
373,1004593,2982,12,6,5
374,1051164,3044,12,6,5
375,1008962,2783,12,6,5
376,4213633,3084,12,6,5
377,5110105,2978,12,6,5
378,1079621,3048,12,6,5
379,3055384,2841,12,6,5
380,3330019,2984,12,6,5
381,1080576,3085,12,6,5
382,1053478,2783,12,6,5
383,3424183,2978,12,6,5
384,3073097,2984,12,6,5
385,3165274,3044,12,6,5
386,1090782,2829,12,6,5
387,3396746,3039,12,6,5
388,3856329,3086,12,6,5
389,3063648,2829,12,6,5
390,3063133,3044,12,6,5
391,1064133,2868,12,6,5
392,3061470,3059,12,6,5
393,1001280,2982,12,6,5
394,1014449,2987,12,6,5
395,4618329,2941,12,6,5
396,1090738,3085,12,6,5
397,1090860,3084,12,6,5
398,1005635,3048,12,6,5
399,3396746,3039,12,6,5
400,1090740,3096,12,6,5
401,1064210,3086,12,6,5
402,2002785,2870,12,6,5
403,4004882,2982,12,6,5
404,1015492,2984,12,6,5
405,3325006,2976,12,6,5
406,1028619,3073,12,6,5
407,3110166,2829,12,6,5
408,1090740,3044,12,6,5
409,3426592,2783,12,6,5
410,2127285,2989,12,6,5
411,1081179,3044,12,6,5
412,2129154,3141,12,6,5
413,3398233,3102,12,6,5
414,1023166,3073,12,6,5
415,3426584,2995,12,6,5
416,1015650,3141,12,6,5
417,3223073,3085,12,6,5
418,4607559,3059,12,6,5
419,5170161,2984,12,6,5
420,1006432,2982,12,6,5
421,2129503,3050,12,6,5
422,4079308,3040,12,6,5
423,1012290,2987,12,6,5
424,1046842,2841,12,6,5
425,2090994,2783,12,6,5
426,4619112,3044,12,6,5
427,1000807,3086,12,6,5
428,1057739,3116,12,6,5
429,4305631,3084,12,6,5
430,1076822,2987,12,6,5
431,1047419,3141,12,6,5
432,2128429,2783,12,6,5
433,1017205,3086,12,6,5
434,1038647,3075,12,6,5
435,1090823,3050,12,6,5
436,1015038,3129,12,6,5
437,1020579,3048,12,6,5
438,2129154,3141,12,6,5
439,1015650,2651,12,6,5
440,1015650,3141,12,6,5
441,1038647,3050,12,6,5
442,1018311,3085,12,6,5
443,4307724,2783,12,6,5
444,3107004,3084,12,6,5
445,4210560,2987,12,6,5
446,1090347,3117,12,6,5
447,3117884,2995,12,6,5
448,4044233,2987,12,6,5
449,4800517,3077,12,6,5
450,4619476,3084,12,6,5
